NAME                                     VERSION                              TYPE                      
accountsservice                          22.08.8-6                            deb                        
adduser                                  3.134                                deb                        
adwaita-icon-theme                       43-1                                 deb                        
apt                                      2.6.1                                deb                        
apt-transport-https                      2.6.1                                deb                        
apt-utils                                2.6.1                                deb                        
at-spi2-common                           2.46.0-5                             deb                        
baloo-kf5                                5.103.0-2                            deb                        
base-files                               12.4+deb12u10                        deb                        
base-passwd                              3.6.1                                deb                        
bash                                     5.2.15                               binary                     
bash                                     5.2.15-2+b7                          deb                        
blinker                                  1.5                                  python                     
breeze                                   4:5.27.5-2                           deb                        
breeze-cursor-theme                      4:5.27.5-2                           deb                        
breeze-icon-theme                        4:5.103.0-1                          deb                        
bsd-mailx                                8.1.2-0.20220412cvs-1                deb                        
bsdextrautils                            2.38.1-5+deb12u3                     deb                        
bsdutils                                 1:2.38.1-5+deb12u3                   deb                        
ca-certificates                          20230311                             deb                        
catatonit                                0.1.7-1+b1                           deb                        
chromium                                 135.0.7049.84-1~deb12u1              deb                        
chromium-common                          135.0.7049.84-1~deb12u1              deb                        
chromium-l10n                            135.0.7049.84-1~deb12u1              deb                        
coreutils                                9.1-1                                deb                        
cpp                                      4:12.2.0-3                           deb                        
cpp-12                                   12.2.0-14                            deb                        
cron                                     3.0pl1-162                           deb                        
cron-daemon-common                       3.0pl1-162                           deb                        
cryptography                             38.0.4                               python     (+1 duplicate)  
curl                                     7.88.1-10+deb12u12                   deb                        
dash                                     0.5.12-2                             deb                        
dbus                                     1.14.10-1~deb12u1                    deb                        
dbus-bin                                 1.14.10-1~deb12u1                    deb                        
dbus-daemon                              1.14.10-1~deb12u1                    deb                        
dbus-python                              1.3.2                                python                     
dbus-session-bus-common                  1.14.10-1~deb12u1                    deb                        
dbus-system-bus-common                   1.14.10-1~deb12u1                    deb                        
dbus-x11                                 1.14.10-1~deb12u1                    deb                        
dconf-gsettings-backend                  0.40.0-4                             deb                        
dconf-service                            0.40.0-4                             deb                        
debconf                                  1.5.82                               deb                        
debian-archive-keyring                   2023.3+deb12u1                       deb                        
debianutils                              5.7-0.5~deb12u1                      deb                        
diffutils                                1:3.8-4                              deb                        
dirmngr                                  2.2.40-1.1                           deb                        
distro                                   1.8.0                                python                     
distro-info-data                         0.58+deb12u3                         deb                        
dmidecode                                3.4-1                                deb                        
dmsetup                                  2:1.02.185-2                         deb                        
docker-ce-cli                            5:28.0.4-1~debian.12~bookworm        deb                        
dolphin                                  4:22.12.3-1                          deb                        
dpkg                                     1.21.22                              deb                        
drkonqi                                  5.27.5-2                             deb                        
e2fsprogs                                1.47.0-2                             deb                        
exim4-base                               4.96-15+deb12u7                      deb                        
exim4-config                             4.96-15+deb12u7                      deb                        
